6,20180319,CRA,SWL,8BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,DSV,TWC,FFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,JMF,IBL,4BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,SCN,CHS,CDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,SSS,NLT,OLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,SJK,PBR,AAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,PGN,CPO,ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,KNR,LLK,LLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,TBT,DTP,JUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,CDC,RMS,RAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,HHS,DIH,SHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20180319,ALU,FRZ,FCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20180326,TWC,<b><a href="http://nwpas.wapinball.net/satellite.html">NWPAS-MNP Team Brawl</a></b>
7,20180402,CHS,SSS,SHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,DSV,PBR,AAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,NLT,JMF,JUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,SWL,SJK,FTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,IBL,CRA,ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,TWC,SCN,NAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,DIH,CDC,CDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,ALU,LLK,LLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,DTP,HHS,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,FRZ,PGN,8BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,CPO,TBT,4BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20180402,RMS,KNR,FFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,SJK,IBL,4BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,SCN,DSV,AAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,CRA,NLT,OLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,SSS,TWC,FFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,JMF,CHS,CDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,PBR,SWL,8BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,TBT,FRZ,FCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,LLK,RMS,RAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,HHS,CPO,ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,KNR,DIH,SHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,CDC,DTP,JUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20180409,PGN,ALU,VID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,TWC,JMF,JUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,DSV,SWL,8BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,CHS,CRA,ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,IBL,PBR,AAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,NLT,SJK,FTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,SCN,SSS,SHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,DTP,KNR,FFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,PGN,LLK,LLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,CPO,CDC,CDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,ALU,TBT,4BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,FRZ,HHS,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20180416,DIH,RMS,RAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,PBR,NLT,OLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,SSS,DSV,AAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,SJK,CHS,CDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,JMF,SCN,NAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,CRA,TWC,FFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,SWL,IBL,4BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,HHS,ALU,VID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,LLK,DIH,SHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,CDC,FRZ,FCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,RMS,DTP,JUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,KNR,CPO,ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20180423,TBT,PGN,8BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,SCN,CRA,ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,DSV,IBL,4BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,TWC,SJK,FTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,NLT,SWL,8BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,CHS,PBR,AAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,SSS,JMF,JUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,CPO,RMS,RAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,TBT,LLK,LLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,FRZ,KNR,FFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,PGN,HHS,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,ALU,CDC,CDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20180430,DTP,DIH,SHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,20180507,CPO,CRA,ANC,
91,20180507,SWL,JMF,JUP,
91,20180507,SSS,DSV,AAB,
91,20180507,HHS,RMS,RAY,
91,20180507,CDC,TBT,4BS,
92,20180514,PGN,SWL,8BT,
92,20180514,SSS,SJK,FTB,
92,20180514,JMF,NLT,OLF,
92,20180514,TBT,DTP,JUP,
92,20180514,RMS,KNR,FFD,
93,20180521,KNR,DTP,AAB,
93,20180521,TBT,RMS,AAB,
93,20180521,NLT,SJK,ANC,
93,20180521,SSS,JMF,ANC,

