1,20150209,DTP,ELL,38,40
1,20150209,SSS,SWL,45,39
1,20150209,SCN,DSV,36,39
1,20150209,NLT,SJK,20,58
1,20150209,PBR,CRA,37,32
1,20150209,JMF,BBS,40,39
2,20150216,NLT,PBR,19,59
2,20150216,DSV,ELL,27,54
2,20150216,SWL,SJK,40,44
2,20150216,DTP,CRA,49,26
2,20150216,SSS,BBS,49,32
2,20150216,SCN,JMF,34,44
3,20150223,CRA,SWL,23,52
3,20150223,SJK,DSV,45,39
3,20150223,ELL,NLT,40,44
3,20150223,PBR,SCN,34,38
3,20150223,JMF,SSS,31,53
3,20150223,BBS,DTP,33,51
4,20150302,SWL,PBR,39,42
4,20150302,DTP,NLT,43,42
4,20150302,SSS,SCN,40,44
4,20150302,CRA,ELL,22,56
4,20150302,SJK,BBS,53,25
4,20150302,DSV,JMF,44,40
5,20150309,NLT,SWL,28,56
5,20150309,PBR,DSV,37,47
5,20150309,JMF,SJK,35,49
5,20150309,BBS,CRA,40,39
5,20150309,ELL,SSS,34,50
5,20150309,SCN,DTP,42,43
6,20150316,JMF,ELL,37,47
6,20150316,BBS,PBR,28,56
6,20150316,CRA,NLT,39,45
6,20150316,SJK,SCN,44,40
6,20150316,DSV,SSS,36,48
6,20150316,SWL,DTP,54,30
7,20150323,PBR,JMF,40,44
7,20150323,ELL,SWL,34,50
7,20150323,DTP,DSV,38,46
7,20150323,SSS,SJK,37,47
7,20150323,SCN,CRA,41,40
7,20150323,NLT,BBS,40,41
8,20150406,SJK,DTP,49,35
8,20150406,DSV,SWL,39,45
8,20150406,PBR,ELL,43,41
8,20150406,JMF,NLT,43,42
8,20150406,BBS,SCN,30,48
8,20150406,SSS,CRA,51,24
9,20150413,DTP,JMF,38,46
9,20150413,SSS,PBR,41,43
9,20150413,SCN,NLT,38,46
9,20150413,ELL,SJK,25,53
9,20150413,DSV,CRA,49,26
9,20150413,SWL,BBS,47,36
10,20150427,PBR,DTP,38,46
10,20150427,JMF,SWL,37,47
10,20150427,BBS,DSV,33,51
10,20150427,CRA,SJK,16,56
10,20150427,ELL,SCN,45,33
10,20150427,NLT,SSS,32,52
11,20150504,CRA,JMF,22,53
11,20150504,SJK,PBR,47,37
11,20150504,DSV,NLT,48,36
11,20150504,SWL,SCN,47,37
11,20150504,DTP,SSS,36,48
11,20150504,BBS,ELL,38,46
91,20150511,SCN,SJK,34,50
91,20150511,JMF,SWL,43,42
91,20150511,ELL,SSS,39,45
91,20150511,PBR,DSV,38,46
92,20150518,DSV,SJK,37,47
92,20150518,JMF,SSS,40,44
93,20150525,SSS,SJK,33,51
