6,20181015,JMF,SSS,SHR,,,,,,,,,,,,,,,,,,,,,,
6,20181015,RMS,PKT,COP,,,,,,,,,,,,,,,,,,,,,,
6,20181015,LLK,SCN,NAR,,,,,,,,,,,,,,,,,,,,,,
6,20181015,CRA,CPO,ANC,,,,,,,,,,,,,,,,,,,,,,
6,20181015,HHS,PGN,8BT,,,,,,,,,,,,,,,,,,,,,,
6,20181015,CDC,LNL,VID,,,,,,,,,,,,,,,,,,,,,,
6,20181015,DIH,ETB,GET,,,,,,,,,,,,,,,,,,,,,,
6,20181015,FRZ,TBT,4BS,,,,,,,,,,,,,,,,,,,,,,
7,20181022,DTP,PBR,AAB,,,,,,,,,,,,,,,,,,,,,,
7,20181022,DSV,SSS,SHR,,,,,,,,,,,,,,,,,,,,,,
7,20181022,CHS,KNR,FFD,,,,,,,,,,,,,,,,,,,,,,
7,20181022,IBL,JMF,JUP,,,,,,,,,,,,,,,,,,,,,,
7,20181022,TWC,SJK,FTB,,,,,,,,,,,,,,,,,,,,,,
7,20181022,NLT,SWL,8BT,,,,,,,,,,,,,,,,,,,,,,
7,20181022,LNL,HHS,HND,,,,,,,,,,,,,,,,,,,,,,
7,20181022,DIH,LLK,LLQ,,,,,,,,,,,,,,,,,,,,,,
7,20181022,CPO,CDC,CDX,,,,,,,,,,,,,,,,,,,,,,
7,20181022,ETB,RMS,RAY,,,,,,,,,,,,,,,,,,,,,,
7,20181022,PKT,CRA,ANC,,,,,,,,,,,,,,,,,,,,,,
7,20181022,PGN,FRZ,NAR,,,,,,,,,,,,,,,,,,,,,,
7,20181022,SCN,TBT,4BS,,,,,,,,,,,,,,,,,,,,,,
8,20181029,JMF,TWC,FFD,,,,,,,,,,,,,,,,,,,,,,
8,20181029,SWL,DSV,AAB,,,,,,,,,,,,,,,,,,,,,,
8,20181029,SJK,CHS,CDX,,,,,,,,,,,,,,,,,,,,,,
8,20181029,PBR,NLT,OLF,,,,,,,,,,,,,,,,,,,,,,
8,20181029,KNR,DTP,JUP,,,,,,,,,,,,,,,,,,,,,,
8,20181029,SSS,IBL,IBX,,,,,,,,,,,,,,,,,,,,,,
8,20181029,CRA,ETB,GET,,,,,,,,,,,,,,,,,,,,,,
8,20181029,LLK,PGN,8BT,,,,,,,,,,,,,,,,,,,,,,
8,20181029,CDC,PKT,COP,,,,,,,,,,,,,,,,,,,,,,
8,20181029,TBT,LNL,VID,,,,,,,,,,,,,,,,,,,,,,
8,20181029,HHS,CPO,ANC,,,,,,,,,,,,,,,,,,,,,,
8,20181029,RMS,SCN,NAR,,,,,,,,,,,,,,,,,,,,,,
8,20181029,FRZ,DIH,SHR,,,,,,,,,,,,,,,,,,,,,,
9,20181105,NLT,KNR,FFD,,,,,,,,,,,,,,,,,,,,,,
9,20181105,DSV,IBL,IBX,,,,,,,,,,,,,,,,,,,,,,
9,20181105,DTP,SJK,FTB,,,,,,,,,,,,,,,,,,,,,,
9,20181105,TWC,SSS,SHR,,,,,,,,,,,,,,,,,,,,,,
9,20181105,CHS,JMF,JUP,,,,,,,,,,,,,,,,,,,,,,
9,20181105,SWL,PBR,AAB,,,,,,,,,,,,,,,,,,,,,,
