CDC,CDX,Contras,2
CPO,ANC,Pants Optional,2
CRA,ANC,Castle Crashers,1
DIH,SHR,Drain in Hell,2
DSV,AAB,Death Savers,1
DTP,JUP,DTP,1
ETB,GET,Eighteen Ball Deluxe,1
HHS,HND,Hellhounds,2
IBL,IBX,Iron Bullies,1
JMF,JUP,Middle Flippers,2
KNR,FFD,Knight Riders,2
LLK,LLQ,Lucky Lickers,2
NLT,OLF,Northern Lights,1
PBR,AAB,Point Breakers,1
PGN,8BT,Pinguins,2
PKT,COP,Pocketeers,2
RMS,RAY,Magic Saves,2
SCN,FCH,Seacorns,1
SJK,FTB,Soda Jerks,1
SKP,KRA,Slap Kraken Pop,2
SSS,SHR,Silverball Slayers,1
SWL,8BT,Specials When Lit,1
TBC,IBX,Third Ball Charmers,2
TND,CDX,Tilt & Destroy,2
TSV,VID,True Survivors,2
TWC,FFD,The Wrecking Crew,1
